Device Time, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),GPS Altitude(m),Acceleration Sensor(Z axis)(g),GPS Bearing(°),Trip Distance(km),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS Accuracy(m),Engine RPM(rpm),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Speed (OBD)(km/h)
11-mai-2016 20:29:31.474,-1.25704956,8.5537262,-0.28965759,-0.02542418,-0.26289779,0.01943046,0.71790498,115.69999695,0.06487425,39.29000092,10.03620052,48.82866669,2.07948661,10,0,3960,71,125.04704285,123
11-mai-2016 20:29:31.579,0.62849426,10.76109314,-1.09484863,0.06798646,-0.09315285,0.04321301,0.90352559,115.69999695,-0.04013142,39.29000092,10.04182625,48.82866669,2.07948661,10,0,3726,71,125.04704285,123
11-mai-2016 20:29:31.671,0.6033783,8.06558228,1.35421753,0.04471518,-0.05177786,0.05248183,0.88340294,115.80000305,0.23964104,39.41999817,10.04705334,48.82871628,2.07954836,10,0,3726,71,125.04704285,123
11-mai-2016 20:29:31.774,-0.66960144,10.37466431,-0.53372192,0.03157592,-0.15534599,0.09370234,0.82705742,115.80000305,0.04194718,39.41999817,10.04705334,48.82871628,2.07954836,10,0.88,3659,71,125.04704285,123
11-mai-2016 20:29:31.872,-0.06422424,7.49848938,3.83796692,-0.04852194,-0.17617787,-0.03362222,0.80474013,116,0.07170415,39.56999969,10.0527935,48.82876205,2.07960844,10,0,3659,71,124.30623627,123
11-mai-2016 20:29:31.975,0.82351685,9.92601013,3.26846313,-0.02914483,-0.08347455,-0.05118305,0.82339907,116,0.29854682,39.61999893,10.05779552,48.82878494,2.07963824,10,0,3862,71,124.1765976,122
11-mai-2016 20:29:32.077,-0.2616272,9.43667603,2.55300903,0.02076367,0.03723654,0.00967323,1.00621521,116.09999847,0.15012437,39.75999832,10.05779552,48.82881165,2.07966828,10,0,3862,71,123.56543732,122
11-mai-2016 20:29:32.173,0.02789307,7.8155365,2.11154175,-0.08196342,-0.18862513,-0.0015461,0.79961807,116.09999847,0.03597121,39.66999817,10.06447792,48.82883453,2.07969832,10,0,4366,71,123.08392334,121
11-mai-2016 20:29:32.273,0.38922119,8.51902771,4.18492126,-0.02798288,-0.18862513,-0.0015461,0.79961807,116.19999695,0.03597121,39.66999817,10.06447792,48.82885742,2.0797267,10,0,4466,71,122.99132538,121
11-mai-2016 20:29:32.378,0.48971558,8.3706665,1.8028717,-0.00457745,-0.03132921,0.03967596,0.86840236,116.19999695,0.32659748,39.66999817,10.06921673,48.82885742,2.0797267,10,0,4466,71,122.99132538,121
11-mai-2016 20:29:32.472,-0.54518127,9.30386353,0.92588806,0.0334209,-0.12542929,0.04992004,0.85327893,116.30000305,0.08377897,39.66999817,10.06921673,48.8289032,2.07978511,10,0,4460,71,122.19495392,121
11-mai-2016 20:29:32.577,-0.3381958,7.36209106,3.48143005,-0.07635969,0.00617513,0.02406409,0.84376591,116.40000153,0.44697079,39.83000183,10.07591152,48.8289299,2.07981491,10,0,4434,71,121.8060379,120
11-mai-2016 20:29:32.673,-1.25823975,8.3323822,3.98989868,-0.01565326,-0.03929946,-0.12216363,0.9525528,116.40000153,-0.10586708,39.83000183,10.07972717,48.8289299,2.07981491,10,0,4413,71,121.8060379,121
11-mai-2016 20:29:32.775,-0.0965271,8.89828491,4.29977417,0.0250846,0.03488257,-0.13923761,1.00938523,116.40000153,0.07889958,39.75,10.08424568,48.82895279,2.07984328,10,0.88,4413,71,121.75047302,120
11-mai-2016 20:29:32.875,0.17625427,8.44844055,7.66049194,0.02918298,-0.0164428,-0.02459605,0.98157871,116.40000153,-0.04879051,39.88000107,10.08424568,48.82899857,2.0799017,10,0,4438,71,121.58379364,120
11-mai-2016 20:29:32.975,-0.98904419,7.67674255,7.91532898,0.22130024,0.12890926,-0.10082,0.78254253,116.5,0.70686328,39.79000092,10.09034538,48.82902145,2.07993007,10,0,4438,71,121.67639923,120
11-mai-2016 20:29:33.073,-0.25205994,8.2665863,4.8572998,0.07598417,0.12890926,-0.10082,0.78254253,116.5,0.70686328,39.77999878,10.09563446,48.82904434,2.07995844,10,0,4434,71,121.75047302,121
11-mai-2016 20:29:33.173,1.00656128,8.73677063,3.98989868,0.05865104,-0.01199894,-0.07130723,0.94743079,116.5,0.16975859,39.77999878,10.09563446,48.82904434,2.07995844,10,0.88,4434,71,121.75047302,121
11-mai-2016 20:29:33.272,-0.08575439,9.18901062,2.27545166,0.05780602,0.03524026,-0.00008244,1.01048326,116.69999695,0.12341449,39.86000061,10.10195351,48.82909012,2.08001661,10,0,4432,71,122.08383942,121
11-mai-2016 20:29:33.373,-2.19024658,8.79420471,-1.01228333,0.04983786,-0.01453699,0.09931278,0.91364837,116.69999695,0.2547645,39.88999939,10.10195351,48.82911301,2.08004498,10,0,4432,71,122.02827454,121
11-mai-2016 20:29:33.472,-0.44946289,9.14234924,2.79588318,0.08685789,0.17164421,-0.0278889,0.6347298,116.80000305,0.88394767,39.91999817,10.10195351,48.82913589,2.08007336,10,0,4441,71,122.04679871,121
11-mai-2016 20:29:33.578,1.97087097,6.54016113,3.68841553,0.05115888,-0.24262807,-0.07801425,0.74424779,116.80000305,-0.21501952,39.83000183,10.11018848,48.82915878,2.0801034,10,0,4441,71,122.10236359,121
11-mai-2016 20:29:33.671,-1.85166931,10.01812744,-3.20651245,0.18151343,-0.02002923,-0.09947921,0.75120056,116.90000153,0.52087718,39.84999847,10.1145916,48.82918167,2.08013344,10,0,4441,71,122.17643738,121
11-mai-2016 20:29:33.771,0.08651733,7.14674377,4.70535278,0.07163342,-0.04037697,0.03455392,0.94145483,116.90000153,-0.28087652,39.88000107,10.1145916,48.82920837,2.08016157,10,0,4445,71,122.23200226,121
11-mai-2016 20:29:33.873,0.34135437,8.7571106,5.14204407,0.06558332,-0.09715442,-0.01898716,0.84754717,116.90000153,0.20963986,39.93999863,10.11990261,48.82923126,2.08019161,10,0,4445,71,122.19495392,121
11-mai-2016 20:29:33.971,-0.40878296,7.77366638,2.73486328,-0.06615859,-0.08967574,0.03747969,0.72595435,117,0.44745764,39.95000076,10.12470913,48.82925415,2.08022165,10,0,4453,71,121.88011169,121
11-mai-2016 20:29:34.073,-0.79045105,8.18522644,3.87145996,0.0192858,-0.07317422,-0.08057605,0.83437574,117,0.29464424,39.86999893,10.12470913,48.82927704,2.08025002,10,0,4455,71,121.99123383,121
11-mai-2016 20:29:34.171,-0.49612427,7.43746948,2.06846619,0.04248895,-0.21118085,-0.05057332,0.75815183,117,0.11085282,39.95999908,10.1309948,48.82929993,2.08028007,10,0,4455,71,122.62091827,121
11-mai-2016 20:29:34.273,-0.48057556,11.47894287,-2.84399414,0.08604021,0.20691234,-0.04898833,1.17012668,117,-0.38990763,39.97999954,10.1359024,48.82932281,2.08031011,10,0,4479,71,122.65795898,121
11-mai-2016 20:29:34.372,-0.28317261,8.03208923,5.31074524,0.07475471,0.20691234,-0.04898833,1.17012668,117,-0.38990763,39.93999863,10.1359024,48.8293457,2.08033991,10,0,4487,71,122.76908112,121
11-mai-2016 20:29:34.473,-1.06800842,7.98422241,4.32130432,0.05949365,-0.11701604,-0.04691494,0.80461723,117.09999847,0.25988653,40.04999924,10.14056015,48.82937241,2.08036995,10,0,4487,71,122.75055695,122
