Device Time, Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Engine Coolant Temperature(°C),Engine Oil Temperature(°C),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Speed (GPS)(km/h),Speed (OBD)(km/h),Torque(Nm),Trip Distance(km),Trip Time(Since journey start)(s)
18-juil.-2018 19:46:41.734,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-
18-juil.-2018 19:46:41.833,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,59,-,-,0
18-juil.-2018 19:46:41.933,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,59,-,-,0
18-juil.-2018 19:46:42.033,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,59,-,-,0
18-juil.-2018 19:46:42.133,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,59,-,0.00411361,0
18-juil.-2018 19:46:42.233,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,59,-,0.00411361,0
18-juil.-2018 19:46:42.334,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,59,-,0.00817806,0
18-juil.-2018 19:46:42.433,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,59,-,0.00817806,0
18-juil.-2018 19:46:42.533,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,59,-,0.00817806,0
18-juil.-2018 19:46:42.633,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,59,-,0.00817806,0
18-juil.-2018 19:46:42.733,-,-,-,-,71,-,-,-,-,-,-,-,13,-,-,-,59,-,0.00817806,0
18-juil.-2018 19:46:42.833,-,-,-,-,71,-,-,-,-,-,-,-,13,-,29,-,59,-,0.00817806,0
18-juil.-2018 19:46:42.934,-,-,-,-,71,-,-,-,-,-,-,-,13,-,29,-,59,-,0.00817806,1
18-juil.-2018 19:46:43.034,-,-,-,-,71,-,-,-,-,-,-,-,13,-,29,-,59,-,0.00817806,1
18-juil.-2018 19:46:43.133,-,-,-,-,71,-,-,-,-,-,-,-,13,-,29,-,59,-,0.00817806,1
18-juil.-2018 19:46:43.233,-,-,-,-,71,-,-,-,-,-,-,-,13,-,29,-,59,-,0.00817806,1
18-juil.-2018 19:46:43.333,-,-,-,-,71,-,-,-,-,-,-,-,13,-,29,-,59,-,0.00817806,1
18-juil.-2018 19:46:43.433,-,-,-,-,71,-,-,-,-,-,-,-,13,-,29,-,59,-,0.00817806,1
18-juil.-2018 19:46:43.533,-,-,-,-,71,-,2164.25,-,-,-,-,-,13,-,29,-,59,-,0.00817806,1
18-juil.-2018 19:46:43.633,-,-,-,-,71,-,2164.25,-,-,-,-,-,13,-,29,-,59,-,0.02864778,1
18-juil.-2018 19:46:43.734,-,-,-,-,71,59,2164.25,-,-,-,-,-,12,-,29,-,59,-,0.02864778,1
18-juil.-2018 19:46:43.834,-,-,-,-,71,59,2164.25,-,-,-,-,-,12,-,29,-,59,-,0.02864778,1
18-juil.-2018 19:46:43.933,-,-,-,-,71,59,2164.25,-,-,-,-,-,12,-,29,-,59,-,0.02864778,1
18-juil.-2018 19:46:44.033,-,-,-,-,71,59,2164.25,-,-,-,-,-,12,-,29,-,59,-,0.02864778,1
18-juil.-2018 19:46:44.133,-,-,-,-,71,59,2164.25,-,-,-,-,-,12,-,29,-,59,-,0.02864778,1
18-juil.-2018 19:46:44.233,-,-,-,-,71,59,2164.25,-,-,-,-,-,12,-,29,-,59,-,0.02864778,1
18-juil.-2018 19:46:44.333,-,-,-,-,71,59,2166.75,-,-,-,-,-,12,-,29,-,59,-,0.04095583,2
18-juil.-2018 19:46:44.433,-,-,-,-,71,59,2166.75,-,-,-,-,-,12,-,29,-,59,-,0.04095583,2
18-juil.-2018 19:46:44.533,-,-,-,-,71,59,2166.75,-,-,-,-,-,12,-,29,-,59,-,0.04095583,2
18-juil.-2018 19:46:44.633,-,-,-,-,71,59,2166.75,-,-,-,-,-,12,-,29,-,59,-,0.04095583,2
18-juil.-2018 19:46:44.733,-,-,-,-,71,59,2166.75,-,-,-,-,-,12,-,29,-,59,-,0.04095583,2
18-juil.-2018 19:46:44.833,-,-,-,-,71,59,2166.75,-,-,-,-,-,12,-,29,-,59,-,0.04095583,2
18-juil.-2018 19:46:44.933,-,-,-,-,71,59,2156.75,-,-,-,-,-,12,-,29,-,59,-,0.04095583,3
18-juil.-2018 19:46:45.033,-,-,-,-,71,59,2156.75,-,-,-,-,-,12,-,29,-,59,-,0.051625,3
18-juil.-2018 19:46:45.134,-,-,-,-,71,59,2156.75,-,-,-,-,-,12,-,29,-,59,-,0.051625,3
18-juil.-2018 19:46:45.233,-,-,-,-,71,59,2156.75,-,-,-,-,-,12,-,29,-,59,-,0.051625,3
18-juil.-2018 19:46:45.333,-,-,-,-,71,59,2156.75,-,-,-,-,-,12,-,29,-,59,-,0.051625,3
18-juil.-2018 19:46:45.433,-,-,-,-,71,59,2156.75,-,-,-,-,-,12,-,29,-,59,-,0.051625,3
18-juil.-2018 19:46:45.534,-,-,-,-,71,59,2156.75,-,-,-,-,-,12,-,29,-,59,-,0.051625,3
18-juil.-2018 19:46:45.634,-,-,-,-,71,59,2156.75,3,-,-,-,-,12,-,29,-,59,-,0.051625,3
18-juil.-2018 19:46:45.734,-,-,-,-,72,59,2156.75,3,-,-,-,-,12,-,29,-,59,-,0.051625,3
18-juil.-2018 19:46:45.834,-,-,-,-,72,59,2157.25,3,-,-,-,-,12,-,29,-,59,-,0.06553917,4
18-juil.-2018 19:46:45.933,-,-,-,-,72,59,2157.25,3,-,-,-,-,12,-,29,-,59,-,0.06553917,4
18-juil.-2018 19:46:46.034,-,-,-,-,72,59,2157.25,3,-,-,-,-,12,-,29,-,59,-,0.06553917,4
18-juil.-2018 19:46:46.134,-,-,-,-,72,59,2157.25,3,-,-,-,-,12,-,29,-,59,-,0.06553917,4
18-juil.-2018 19:46:46.233,-,-,-,-,72,59,2157.25,3,-,-,-,-,12,-,29,-,59,-,0.06553917,4
18-juil.-2018 19:46:46.334,-,-,-,-,72,59,2157.25,3,-,-,-,-,12,-,29,-,59,-,0.06553917,4
18-juil.-2018 19:46:46.433,-,-,-,-,72,59,2157.25,3,-,-,-,-,12,-,29,-,59,-,0.06553917,4
18-juil.-2018 19:46:46.533,-,-,-,-,72,59,2156.25,3,-,-,-,-,12,-,29,-,59,-,0.07697861,4
18-juil.-2018 19:46:46.634,-,-,-,-,72,59,2156.25,3,-,-,-,-,11,-,29,-,59,-,0.07697861,4
18-juil.-2018 19:46:46.733,-,-,-,-,72,59,2156.25,3,-,-,-,-,11,-,29,-,59,-,0.07697861,4
18-juil.-2018 19:46:46.833,-,-,-,-,72,59,2156.25,3,-,-,-,-,11,-,29,-,59,-,0.07697861,4
18-juil.-2018 19:46:46.933,-,-,-,-,72,59,2156.25,3,-,-,-,-,11,-,29,-,59,-,0.07697861,4
18-juil.-2018 19:46:47.033,-,-,-,-,72,59,2156.25,3,-,-,-,-,11,-,29,-,59,-,0.07697861,4
18-juil.-2018 19:46:47.138,-,-,-,-,72,59,2155.25,3,-,-,-,-,11,-,29,-,59,-,0.07697861,5
18-juil.-2018 19:46:47.237,-,-,-,-,72,59,2155.25,3,-,-,-,-,11,-,29,-,59,-,0.08769694,5
18-juil.-2018 19:46:47.333,-,-,-,-,72,59,2155.25,3,-,-,-,-,11,-,29,-,59,-,0.08769694,5
18-juil.-2018 19:46:47.433,-,-,-,-,72,59,2152.75,3,-,-,-,-,11,-,29,-,59,-,0.09172861,5
18-juil.-2018 19:46:47.534,-,-,-,-,72,59,2152.75,3,-,-,-,-,11,-,29,-,59,-,0.09172861,5
18-juil.-2018 19:46:47.634,-,-,-,-,72,59,2153.25,3,215,352.5,48.79921341,1.96590412,12,-,29,59.86799622,59,-,0.09172861,5
18-juil.-2018 19:46:47.733,-,-,-,-,72,59,2153.25,3,215,352.5,48.79921341,1.96590412,12,-,29,59.86799622,59,-,0.09607166,5
18-juil.-2018 19:46:47.834,-,-,-,-,72,59,2153.25,3,215,352.5,48.79921341,1.96590412,12,-,29,59.86799622,59,-,0.09607166,6
18-juil.-2018 19:46:47.934,-,-,-,-,72,59,2147.25,3,215,352.5,48.79921341,1.96590412,12,-,29,59.86799622,59,-,0.10031638,6
18-juil.-2018 19:46:48.034,-,-,-,-,72,59,2147.25,3,215,352.5,48.79921341,1.96590412,12,-,29,59.86799622,59,-,0.10031638,6
18-juil.-2018 19:46:48.134,-,-,-,-,72,59,2149.5,3,215,352.5,48.79921341,1.96590412,12,-,29,59.86799622,59,-,0.10359416,6
18-juil.-2018 19:46:48.234,-,-,-,-,72,59,2149.5,3,215,352.5,48.79921341,1.96590412,12,-,29,59.86799622,59,-,0.10359416,6
18-juil.-2018 19:46:48.334,-,-,-,-,72,59,2146.25,3,215,352.5,48.79921341,1.96590412,12,-,29,59.86799622,59,-,0.10687194,6
18-juil.-2018 19:46:48.434,-,-,-,-,72,59,2146.25,3,215,352.5,48.79921341,1.96590412,12,-,29,59.86799622,59,-,0.10687194,6
18-juil.-2018 19:46:48.535,-,-,-,-,72,59,2151.5,3,215,352.5,48.79921341,1.96590412,12,-,29,59.86799622,59,-,0.11013333,6
18-juil.-2018 19:46:48.634,-,-,-,-,72,59,2151.5,3,215,350.3999939,48.79936218,1.96585619,12,-,29,59.61599731,59,-,0.11013333,6
18-juil.-2018 19:46:48.734,-,-,-,-,72,59,2145,3,215,350.3999939,48.79936218,1.96585619,12,-,29,59.61599731,59,-,0.11013333,6
18-juil.-2018 19:46:48.834,-,-,-,-,72,59,2145,3,215,350.3999939,48.79936218,1.96585619,12,-,29,59.61599731,59,-,0.11423055,7
18-juil.-2018 19:46:48.934,-,-,-,-,73,59,2145,3,215,350.3999939,48.79936218,1.96585619,12,-,29,59.61599731,59,-,0.11423055,7
18-juil.-2018 19:46:49.034,-,-,-,-,73,59,2143,3,215,350.3999939,48.79936218,1.96585619,12,-,29,59.61599731,59,-,0.11423055,7
18-juil.-2018 19:46:49.134,-,-,-,-,73,59,2143,3,215,350.3999939,48.79936218,1.96585619,12,-,29,59.61599731,59,-,0.1187375,7
18-juil.-2018 19:46:49.234,-,-,-,-,73,60,2143,3,215,350.3999939,48.79936218,1.96585619,12,-,29,59.61599731,59,-,0.1187375,7
