Device Time, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),GPS Altitude(m),Acceleration Sensor(Z axis)(g),GPS Bearing(°),Trip Distance(km),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS Accuracy(m),Engine RPM(rpm),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Speed (OBD)(km/h)
05-mai-2016 14:59:17.005,-8.78965759,2.97245789,2.10076904,0.07033465,-0.03150453,-0.89025623,0.31251585,76.40000153,0.11707299,224.83000183,17.30825806,48.87994003,2.09099841,9,1.15999997,-,-,5.74119997,-
05-mai-2016 14:59:17.092,-8.78965759,2.97245789,2.10076904,0.07033465,-0.03150453,-0.89025623,0.31251585,76.40000153,0.11707299,220.36999512,17.30825806,48.87994003,2.09099674,9,0,-,-,5.61155987,-
05-mai-2016 14:59:17.192,-8.78965759,2.97245789,2.10076904,0.07033465,-0.03150453,-0.89025623,0.31251585,76.5,0.11707299,217.66999817,17.30825806,48.87994003,2.0909934,10,0,-,-,5.35227966,-
05-mai-2016 14:59:17.291,-8.78965759,2.97245789,2.10076904,0.07033465,-0.03150453,-0.89025623,0.31251585,76.5,0.11707299,225.13000488,17.30825806,48.87993622,2.09099174,10,0,-,-,5.05596018,-
